entity_id,canonical_name,symbol,coingecko_id,ethereum_address,etherscan_join_suspect,first_supply_week_in_panel,first_peg_week_in_panel,first_trends_week_in_panel,panel_weeks,balanced_grid_note
tether,Tether,,,,False,2021-W24,2021-W24,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usdd,USDD (Decentralized USD),,,,False,2023-W11,2022-W18,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usd-coin,Usd Coin,,bridged-usd-coin-scroll,,False,2021-W24,2021-W24,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usds,Usds,,,,False,2024-W38,2024-W39,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
world-liberty-financial-usd,World Liberty Financial Usd,,,,False,2026-W03,2025-W18,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usde,Usde,,,,False,2023-W50,2023-W50,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
global-dollar,Global Dollar,,global-dollar,,False,2025-W11,2025-W30,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
paypal-usd,Paypal Usd,,paypal-usd,,False,2024-W04,2023-W33,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
ripple-usd,Ripple Usd,,,,False,2025-W47,2025-W14,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
united-stables,United Stables,,united-stables,,False,2025-W24,2026-W02,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usdtb,Usdtb,,,,False,2024-W50,2024-W51,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usual-usd,Usual Usd,,usual-usd,,False,2024-W12,2024-W26,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
euro-coin,Euro Coin,,,,False,,2022-W32,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
fdusd,Fdusd,,first-digital-usd,,False,2024-W18,2023-W30,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
fraxfinance,Frax,,,,True,2021-W24,2021-W24,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
rupiahtoken,Rupiah Token,,,,True,,,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
usdk,USDK,,usdkg,,True,2022-W16,2021-W24,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
stasis,STASIS EURO,,,,True,,2022-W27,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
mstable,mStable,,musd,,True,2021-W24,,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
angle-protocol,Angle Protocol,,,,True,,2022-W28,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
binance-usd,Binance Usd,,,,True,2021-W24,2021-W24,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
cad-coin,Cad Coin,,cad-coin,,True,,2023-W49,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
czodiac-stabletoken,Czodiac Stabletoken,,,,True,2023-W15,,2021-W24,263,professor/research weekly is balanced 263 weeks from 2021-W24 even if pre-active
