entity_id,harvested_at,has_info,has_governance_strength,has_security_incidents,has_milestones,has_pulses,has_website_scan,has_summary,has_risky_smart_contracts,has_funding_history,has_price_bars_1y
alchemix-usd,2026-06-22T13:24:50.478848+00:00,1,1,1,1,1,1,0,0,0,1
angle-protocol,2026-06-22T13:25:01.874744+00:00,1,1,0,1,1,1,0,0,0,1
baconcoin-token,2026-06-22T13:25:14.021119+00:00,1,1,0,1,1,1,0,0,0,0
binance-idr,2026-06-22T13:25:26.431865+00:00,1,1,0,1,1,1,0,0,0,0
binance-usd,2026-06-22T13:25:39.336858+00:00,1,1,0,1,1,1,0,0,0,1
cad-coin,2026-06-22T13:27:58.070300+00:00,1,1,0,1,1,1,0,0,0,1
celo-dollar,2026-06-22T13:28:11.678011+00:00,1,0,0,1,1,1,0,0,0,1
celo-euro,2026-06-22T13:28:24.222609+00:00,1,0,0,1,1,1,0,0,0,1
coin98-dollar,2026-06-22T13:28:37.029538+00:00,1,1,0,1,1,1,0,0,0,1
cryptofranc,2026-06-22T13:29:08.935972+00:00,1,1,0,1,1,1,0,0,0,1
czodiac-stabletoken,2026-06-22T13:29:20.915827+00:00,1,1,0,1,1,1,0,0,0,1
dam-finance,2026-06-22T13:29:52.605422+00:00,1,1,0,1,1,1,0,0,1,0
defi-franc,2026-06-22T13:30:04.557818+00:00,1,1,0,1,1,1,1,0,0,0
digitaldollar,2026-06-22T13:30:19.234726+00:00,1,1,0,1,1,1,0,0,0,0
euro-coin,2026-06-22T13:30:39.554621+00:00,1,1,0,1,1,1,0,0,0,1
euro-tether,2026-06-22T13:30:56.215806+00:00,1,1,0,1,1,1,0,0,0,1
euroe-stablecoin,2026-06-22T13:31:13.652509+00:00,1,1,0,1,1,1,0,0,0,1
fantom-usd,2026-06-22T13:31:25.803941+00:00,1,1,0,1,1,1,0,0,0,0
fdusd,2026-06-22T13:31:38.550379+00:00,1,1,0,1,1,1,0,0,0,1
fei-usd,2026-06-22T13:31:51.261992+00:00,1,1,0,1,1,1,0,0,1,1
fraxfinance,2026-06-22T13:32:24.521914+00:00,1,1,0,1,1,1,1,0,0,1
gemini-dollar,2026-06-22T13:32:37.557917+00:00,1,1,0,1,1,1,0,0,1,1
global-dollar,2026-06-22T13:32:54.387918+00:00,1,1,0,1,1,1,0,0,0,1
gyen,2026-06-22T13:33:07.114657+00:00,1,1,0,1,1,1,0,0,0,1
hedge-usd,2026-06-22T13:35:28.105823+00:00,1,0,0,1,1,1,0,0,1,0
husd,2026-06-22T13:35:42.647599+00:00,1,1,0,1,1,1,0,0,0,0
interest-protocol,2026-06-22T13:35:54.182251+00:00,1,1,0,1,1,1,0,0,0,0
inverse-finance-dola-stablecoin,2026-06-22T13:36:27.249533+00:00,1,1,0,1,1,1,0,0,0,1
liquity-usd,2026-06-22T13:36:40.245760+00:00,1,1,0,1,1,1,0,0,0,1
mai,2026-06-22T13:36:54.177330+00:00,1,1,0,1,1,1,0,0,0,1
monerium,2026-06-22T13:37:07.395734+00:00,1,1,0,1,1,1,0,0,0,1
mstable,2026-06-22T13:37:22.180585+00:00,1,1,0,1,1,1,1,1,0,1
neutrino-usd,2026-06-22T13:37:35.074980+00:00,1,1,0,1,1,1,0,0,0,1
nxusd,2026-06-22T13:37:47.599563+00:00,1,1,0,1,1,1,0,0,0,1
origin-dollar,2026-06-22T13:37:59.972839+00:00,1,1,0,1,1,1,0,0,0,1
parrot-usd,2026-06-22T13:38:15.956706+00:00,1,0,0,1,1,1,0,0,0,0
paypal-usd,2026-06-22T13:38:34.195578+00:00,1,1,0,1,1,1,0,0,0,1
poundtoken,2026-06-22T13:38:45.854071+00:00,1,1,0,1,1,1,0,0,0,0
ratio-stable-coin,2026-06-22T13:38:57.405200+00:00,1,0,0,1,1,1,0,0,0,0
ripple-usd,2026-06-22T13:39:09.970953+00:00,1,1,0,1,1,1,0,0,0,1
rupiahtoken,2026-06-22T13:41:37.681749+00:00,1,1,0,1,1,1,1,0,0,1
seur,2026-06-22T13:43:55.262974+00:00,1,1,0,1,1,1,0,0,0,1
sperax-usd,2026-06-22T13:44:28.263143+00:00,1,1,0,1,1,1,0,0,0,1
spiceusd,2026-06-22T13:44:45.627150+00:00,1,1,0,1,1,1,0,0,0,0
stasis,2026-06-22T13:45:08.022148+00:00,1,1,0,1,1,1,1,1,0,1
straitsx-indonesia-rupiah,2026-06-22T13:45:41.936520+00:00,1,1,0,1,1,1,0,0,0,0
susd,2026-06-22T13:45:54.236060+00:00,1,1,0,1,1,1,0,0,0,1
terrausd,2026-06-22T13:46:06.677857+00:00,1,1,0,1,1,1,0,0,0,1
tether-cnht,2026-06-22T13:47:49.100636+00:00,1,1,0,1,1,1,0,0,0,1
tether-mxnt,2026-06-22T13:48:01.235643+00:00,1,1,0,1,1,1,0,0,0,1
tether,2026-06-22T13:47:36.173072+00:00,1,1,0,1,1,1,1,1,0,1
token-force-usd,2026-06-22T13:48:15.264629+00:00,1,1,0,1,1,1,0,0,0,1
tor,2026-06-22T13:50:49.297737+00:00,1,1,0,1,1,1,1,0,0,0
trueaud,2026-06-22T13:51:06.070792+00:00,1,1,0,1,1,1,0,0,0,0
truecad,2026-06-22T13:51:19.556019+00:00,1,1,0,1,1,1,0,0,0,0
truegbp,2026-06-22T13:51:31.964465+00:00,1,1,0,1,1,1,0,0,0,0
united-stables,2026-06-22T13:51:45.148605+00:00,1,1,0,1,1,1,0,0,0,1
usd-coin,2026-06-22T13:54:02.922206+00:00,1,1,0,1,1,1,0,0,1,1
usdd,2026-06-22T13:54:20.991326+00:00,1,1,0,1,1,1,1,0,0,1
usde,2026-06-22T13:54:34.419626+00:00,1,1,0,1,1,1,0,0,1,1
usdh,2026-06-22T13:54:47.155982+00:00,1,0,0,1,1,1,0,0,0,1
usdk,2026-06-22T13:57:07.483788+00:00,1,1,0,1,1,1,1,0,0,1
usds,2026-06-22T13:57:20.329510+00:00,1,1,0,1,1,1,0,0,0,1
usdtb,2026-06-22T13:57:32.362144+00:00,1,1,0,1,1,1,0,0,1,1
usdtez,2026-06-22T13:57:44.824075+00:00,1,0,0,1,1,1,0,0,0,1
usual-usd,2026-06-22T13:57:57.739727+00:00,1,1,0,1,1,1,0,0,0,1
vai,2026-06-22T13:58:10.589108+00:00,1,1,0,1,1,1,0,0,0,1
world-liberty-financial-usd,2026-06-22T13:58:25.830479+00:00,1,1,0,1,1,1,0,0,1,1
xsgd,2026-06-22T13:58:38.922233+00:00,1,1,0,1,1,1,0,0,1,1
yusd-stablecoin,2026-06-22T13:58:51.270130+00:00,1,1,0,1,1,1,0,0,0,0
zusd,2026-06-22T13:59:03.541753+00:00,1,1,0,1,1,1,0,0,0,1
